CustomerID,CustomerName,Gender,AgeGroup,City,Region,LoyaltyTier,CustomerSince
CUS0001,Andrew Sullivan,Other,51+,Deannafort,South,Platinum,2022-11-09
CUS0002,Jessica Larson,Female,51+,Larsenview,North,Platinum,2024-05-16
CUS0003,Amanda Jones,Female,18-25,New Danielle,East,Platinum,2022-04-28
CUS0004,Brittany Nelson,Male,36-50,Lake Ronaldfort,West,Platinum,2024-02-13
CUS0005,Mary Gibson,Female,36-50,North Trevorhaven,West,Platinum,2025-01-29
CUS0006,Tyler Gordon,Male,18-25,Lake Michael,West,Bronze,2025-03-15
CUS0007,Colleen Newton,Male,36-50,West Shawnburgh,South,Bronze,2021-12-03
CUS0008,David Reynolds,Other,36-50,Port Jenniferburgh,East,Bronze,2021-09-24
CUS0009,William Hernandez,Other,36-50,Jessicaberg,West,Silver,2023-07-18
CUS0010,Jennifer Keith,Other,26-35,Tapiachester,West,Gold,2025-07-01
CUS0011,Sarah Smith,Male,18-25,Aaronbury,North,Platinum,2024-10-01
CUS0012,Catherine Rios,Female,51+,Myersfort,North,Bronze,2022-09-22
CUS0013,Raymond Butler,Female,26-35,East Lisa,South,Silver,2024-08-09
CUS0014,Amanda Myers,Other,18-25,Dayfort,West,Gold,2023-10-10
CUS0015,Gina Smith,Female,51+,Lake Benjaminton,East,Gold,2025-01-06
CUS0016,Daniel Butler,Female,26-35,West Brandon,West,Bronze,2025-03-03
CUS0017,Sandra Bell,Other,26-35,Patriciaport,West,Bronze,2023-03-13
CUS0018,Kenneth Roberts,Other,26-35,Port Davidborough,East,Platinum,2023-09-22
CUS0019,Jacob Lyons,Male,18-25,South Raymondshire,East,Gold,2022-03-27
CUS0020,Ashley Villanueva,Other,18-25,Cherylside,North,Bronze,2022-09-11
CUS0021,Dennis Smith Jr.,Other,18-25,South Scottshire,West,Bronze,2025-10-14
CUS0022,Valerie Wang,Other,18-25,Gonzalesstad,East,Bronze,2021-10-07
CUS0023,Mary Williams,Female,26-35,Port Tristan,West,Silver,2024-10-31
CUS0024,Shannon Cook,Male,18-25,Gomezberg,West,Silver,2026-01-30
CUS0025,Amy Ryan,Other,51+,Johnsonborough,West,Bronze,2026-05-07
CUS0026,Jeff Carter,Male,51+,Ramosstad,North,Platinum,2026-01-11
CUS0027,Jacob Harris,Other,18-25,Sherrimouth,West,Silver,2022-11-18
CUS0028,Veronica Snyder,Other,18-25,,South,Platinum,2024-02-11
CUS0029,Carolyn Ellis,Male,36-50,Port Margarettown,East,Gold,2022-09-05
CUS0030,Savannah Wilson,Female,36-50,Lake Douglas,North,Platinum,2025-12-11
CUS0031,Sarah Scott,Male,18-25,Port Kaylatown,South,Platinum,2024-08-12
CUS0032,Laura Bailey,Female,18-25,Danielfurt,East,Bronze,2023-08-18
CUS0033,Kathleen Foster,Male,36-50,Josephton,North,Bronze,2023-01-16
CUS0034,Donna Powers,Female,36-50,Robbinschester,West,Bronze,2026-05-29
CUS0035,Michael Galloway,Male,18-25,Andersonville,West,Bronze,2021-09-28
CUS0036,Matthew Vincent,Female,36-50,East Jennifertown,South,Silver,2025-05-08
CUS0037,Matthew York,Female,51+,Kellymouth,West,Platinum,2024-07-20
CUS0038,Michelle Matthews,Other,36-50,Weaverfurt,East,Platinum,2026-02-17
CUS0039,Lori Hurst,Male,36-50,Lake Brenda,North,Platinum,2026-07-05
CUS0040,Shawn Richmond,Male,18-25,East Jesusport,North,Silver,2024-05-30
CUS0041,Richard Torres,Male,18-25,Jeffreybury,West,Silver,2024-12-21
CUS0042,Stephanie Gray,Other,36-50,New Tanyaton,West,Bronze,2024-03-10
CUS0043,Daniel Rojas,Female,36-50,Scottborough,North,Gold,2022-03-03
CUS0044,Martha White,Other,18-25,North Ericshire,South,Bronze,2022-06-22
CUS0045,Dr. Glenn Bradford,Female,18-25,Reginaldland,West,Platinum,2023-03-24
CUS0046,Stephanie Moore,Other,51+,Vasqueztown,North,Platinum,2025-09-20
CUS0047,Jennifer Davis,Female,36-50,Doughertychester,South,Platinum,2025-12-26
CUS0048,Lisa Shaw,Male,36-50,Lake Lance,South,Bronze,2025-04-18
CUS0049,Heather Anderson,Male,36-50,New Lisa,East,Silver,2022-11-22
CUS0050,Amanda Hopkins,Female,36-50,Connietown,South,Silver,2025-01-26
CUS0051,Krista Lee,Female,51+,Lake Jon,West,Silver,2026-07-06
CUS0052,Lindsey Johnson MD,Other,51+,Kellyhaven,West,Gold,2023-08-05
CUS0053,Larry Sullivan,Other,26-35,Vanessaburgh,East,Silver,2025-01-22
CUS0054,Courtney Jones,Female,51+,North Timothy,North,Bronze,2023-12-18
CUS0055,Wanda Williamson,Female,36-50,Janicefort,South,Platinum,2024-03-18
CUS0056,Angela Brown,Male,18-25,East Sarah,East,Platinum,2023-01-10
CUS0057,Christopher Rose,Female,36-50,Michaelland,East,Silver,2024-03-03
CUS0058,Jon Meyer,Other,26-35,Debraport,West,Bronze,2022-05-15
CUS0059,Jimmy Melendez,Other,26-35,New Megan,North,Silver,2021-11-17
CUS0060,Henry Nunez,Other,26-35,South Williammouth,West,Silver,2023-11-12
CUS0061,Aaron Waters,Male,26-35,Lake Lucas,East,Platinum,2025-08-06
CUS0062,Lynn Cardenas,Male,18-25,Lake Jeffreymouth,East,Silver,2022-09-08
CUS0063,Andrea White MD,Other,36-50,Christopherstad,East,Platinum,2025-06-11
CUS0064,Jeffrey Walker,Female,18-25,Samuelland,North,Silver,2024-10-30
CUS0065,Patricia Pope,Male,51+,Lake Joseph,South,Silver,2022-11-07
CUS0066,Glenn Wallace,Other,26-35,Lake Shannon,North,Bronze,2023-06-12
CUS0067,Dale Farmer Jr.,Female,51+,Johnsonfort,West,Gold,2024-12-21
CUS0068,Linda Parker,Other,51+,North Mandyshire,East,Gold,2022-06-03
CUS0069,Jorge Harris,Male,51+,Sarachester,South,Silver,2025-10-06
CUS0070,David Roman,Female,18-25,Woodsfurt,West,Bronze,2023-04-13
CUS0071,Danny Mcmillan,Other,18-25,Gillport,East,Platinum,2023-05-12
CUS0072,Jocelyn Hopkins,Female,26-35,Port Davidburgh,East,Silver,2023-09-22
CUS0073,Robert Ingram,Male,36-50,Henrybury,West,Bronze,2026-03-07
CUS0074,Ivan White,Female,51+,Kathleenmouth,West,Platinum,2024-12-29
CUS0075,David Torres,Other,36-50,New Shane,South,Silver,2024-09-22
CUS0076,James Evans,Other,26-35,East Gina,East,Silver,2025-11-24
CUS0077,Andrew Scott,Other,18-25,Troyfurt,South,Platinum,2023-06-05
CUS0078,Melissa Bishop,Other,51+,North Shirleymouth,East,Silver,2023-07-24
CUS0079,Lisa Davenport,Other,51+,West Miahaven,West,Bronze,2024-04-30
CUS0080,Bridget Harrell,Female,26-35,Brownstad,North,Silver,2025-06-19
CUS0081,Denise Compton,Other,36-50,Jeffreyberg,South,Gold,2025-09-25
CUS0082,Mary Roach,Male,18-25,,West,Silver,2022-12-28
CUS0083,Regina Brown,Female,36-50,Loriside,North,Gold,2025-06-11
CUS0084,Jeff Warren,Other,51+,New Jenniferfurt,South,Bronze,2022-08-22
CUS0085,Dawn Sandoval,Male,18-25,Martinmouth,West,Silver,2025-08-24
CUS0086,Gregory Pierce,Male,51+,South Kimberly,North,Bronze,2024-04-25
CUS0087,Jason Combs,Female,18-25,Moorefort,North,Silver,2022-09-13
CUS0088,Sarah Young,Female,36-50,Gonzalezport,West,Bronze,2021-10-01
CUS0089,Cindy Jones,Female,26-35,South Ronaldville,East,Platinum,2023-10-03
CUS0090,Michael Sanders,Other,51+,Mendozafurt,West,Gold,2022-07-04
CUS0091,Kathryn White,Female,26-35,Hudsonburgh,East,Platinum,2022-04-11
CUS0092,Matthew Wu MD,Male,36-50,Williamsmouth,South,Bronze,2022-02-27
