CustomerID,CustomerName,Gender,AgeGroup,City,Region,LoyaltyTier
CUS0001,Angela Brown,Other,18-25,South Jason,South,Bronze
CUS0002,Michael Powell,Female,36-50,Wigginsshire,North,Platinum
CUS0003,Mr. Jeremiah Galvan MD,Male,51+,Colonberg,North,Gold
CUS0004,Kari Ellis,Male,26-35,Lake Jasonfort,South,Gold
CUS0005,Christopher Hansen,Other,36-50,New Melissaville,East,Gold
CUS0006,Kenneth Williams,Other,26-35,North Nathan,North,Gold
CUS0007,Elizabeth Tucker PhD,Other,36-50,Port Brittany,West,Platinum
CUS0008,Steven Small,Female,51+,,West,Bronze
CUS0009,Bryan Bailey PhD,Male,26-35,Olsonport,West,Silver
CUS0010,Stephanie Harrington,Male,36-50,Davenportberg,East,Platinum
CUS0011,Kathy Murray,Female,26-35,Contrerasberg,West,Gold
CUS0012,Erika Marsh,Female,18-25,Hughesfurt,North,Platinum
CUS0013,Angel Santiago,Male,36-50,Fitzgeraldland,West,Bronze
CUS0014,Michelle Armstrong,Male,36-50,,South,Silver
CUS0015,Angela Friedman,Male,26-35,New Aimeefort,South,Platinum
CUS0016,Alicia Barrett,Other,51+,North Joshua,North,Bronze
CUS0017,Ronald Combs,Other,26-35,Millerside,East,Platinum
CUS0018,Jennifer Williams,Female,18-25,West Samuelchester,South,Silver
CUS0019,Joseph Reyes,Male,51+,North Tinaside,East,Platinum
CUS0020,Charles Scott,Male,18-25,East Kristopherchester,South,Platinum
CUS0021,Amy Woodward,Other,26-35,North Jennifer,West,Bronze
CUS0022,Brett Thomas,Other,36-50,Jonathanville,West,Bronze
CUS0023,David Harper,Male,26-35,South William,West,Gold
CUS0024,Tiffany Adams,Male,36-50,Stevenchester,West,Bronze
CUS0025,Allen Schultz,Other,36-50,West Angelashire,South,Platinum
CUS0026,Danielle Peters,Female,26-35,West Ashley,North,Bronze
CUS0027,Ryan Mason,Other,18-25,West Amber,West,Silver
CUS0028,David Cisneros,Female,36-50,Williamsmouth,East,Gold
CUS0029,Lisa Delgado,Female,51+,North Brian,East,Gold
CUS0030,Denise King,Female,18-25,,North,Platinum
CUS0031,Katrina Williams,Female,26-35,West Christopherville,West,Silver
CUS0032,Molly Lutz,Female,36-50,Clarkhaven,East,Silver
CUS0033,Emily Fleming,Female,51+,Cynthiamouth,East,Bronze
CUS0034,Matthew Morris,Other,51+,South Susan,North,Gold
CUS0035,Thomas Anderson,Male,36-50,New Thomastown,South,Gold
CUS0036,Jennifer Woodard,Other,18-25,Farmerside,West,Platinum
CUS0037,Shawn Curtis,Female,36-50,Port Lisamouth,West,Silver
CUS0038,Heather Hess,Other,51+,Paultown,East,Platinum
CUS0039,Jacob Lee,Other,18-25,East Juliaview,West,Platinum
CUS0040,Michelle Lee,Other,36-50,Lindseybury,South,Gold
CUS0041,Johnny Cox,Other,18-25,Trevorborough,West,Silver
CUS0042,William Little,Male,51+,Port Joshuahaven,North,Platinum
CUS0043,Juan Keller MD,Female,51+,North Brianna,North,Silver
CUS0044,Bethany Mahoney,Female,18-25,New Jessica,North,Platinum
CUS0045,Ryan Johnson,Other,26-35,Erinmouth,West,Silver
CUS0046,Jeffery Nunez,Male,26-35,Port Sheilachester,South,Gold
CUS0047,Jennifer Martinez,Female,18-25,Simpsonhaven,South,Silver
CUS0048,Stacey Walker,Female,36-50,Samanthaside,South,Gold
CUS0049,Aaron Lee,Other,18-25,New Lindseybury,South,Silver
CUS0050,Jessica Jones,Male,26-35,East Frank,West,Gold
CUS0051,Mark Davis,Male,26-35,Reynoldstown,West,Silver
CUS0052,Lori Cook,Female,36-50,Johnfort,North,Gold
CUS0053,Glen Brown,Other,51+,Aprilbury,South,Gold
CUS0054,Patricia Harvey,Other,18-25,Lake Seanville,South,Silver
CUS0055,Antonio Johnson,Male,26-35,Pamelaland,East,Platinum
CUS0056,Amy Lang,Female,18-25,West Cherylchester,East,Platinum
CUS0057,Michael Hansen,Other,36-50,Melissafurt,North,Silver
CUS0058,Paul Hall,Other,36-50,South Patrickchester,East,Gold
CUS0059,Lisa Morgan,Female,51+,South Zacharyshire,North,Silver
CUS0060,Brian Larson,Male,18-25,New Kristineborough,West,Bronze
CUS0061,Beth Hicks,Female,36-50,Robertmouth,North,Silver
CUS0062,Chad Williams,Female,36-50,West Breanna,East,Gold
CUS0063,Marissa Howard,Other,36-50,East Terrance,West,Platinum
CUS0064,Donna Cordova,Male,26-35,North John,North,Silver
CUS0065,Kristin Brown,Other,18-25,Jamesborough,South,Platinum
CUS0066,Christina Jones,Other,18-25,Lake Thomas,West,Gold
CUS0067,Julie Schwartz,Male,51+,Christinachester,West,Bronze
CUS0068,Brian Walter,Male,26-35,South Jeffreytown,South,Silver
CUS0069,Melissa Owens,Other,18-25,East Timothy,East,Platinum
CUS0070,Robin Aguirre,Female,36-50,Harrisburgh,West,Gold
CUS0071,Adriana Smith,Male,18-25,Anthonyville,East,Gold
CUS0072,Jeremiah Welch,Female,36-50,Bradleytown,East,Gold
CUS0073,Duane Robinson,Male,26-35,Jennifermouth,West,Silver
CUS0074,Danielle Gonzalez,Other,36-50,Port Jose,West,Bronze
CUS0075,Ronald Taylor,Female,51+,West Sharonport,West,Gold
CUS0076,Jacob Watson,Male,26-35,New Tiffany,South,Platinum
CUS0077,Dr. Sherry Jones MD,Female,26-35,Port Jake,North,Gold
CUS0078,Melissa Stewart,Other,51+,Rowlandbury,North,Bronze
CUS0079,Pamela Matthews,Other,26-35,Kristinemouth,South,Platinum
CUS0080,Mark Ramirez,Other,51+,Port William,South,Platinum
CUS0081,Katherine Acosta,Other,18-25,Gibbsland,South,Silver
CUS0082,James Khan,Male,18-25,Victormouth,West,Gold
CUS0083,Micheal Fox,Female,18-25,Baldwinfort,West,Bronze
CUS0084,Kevin Little,Female,18-25,East Jeffreyborough,West,Platinum
CUS0085,David Robinson,Male,18-25,Onealshire,East,Bronze
CUS0086,Ryan Scott,Male,18-25,East Karenport,North,Silver
CUS0087,Gregory Silva,Other,26-35,Huntmouth,East,Gold
CUS0088,John Ortiz,Other,18-25,Stewartfurt,West,Platinum
CUS0089,Jeremy Baker,Other,51+,West Rachelport,South,Bronze
CUS0090,Kayla Schneider,Female,26-35,Saraville,North,Silver
CUS0091,Isaac Payne,Other,26-35,Jamesmouth,South,Bronze
CUS0092,Patrick Mack,Other,26-35,Jamesberg,West,Silver
CUS0093,Dr. Nancy Gaines MD,Male,18-25,Juanstad,East,Silver
CUS0094,Jennifer Sullivan,Male,51+,South Destinyberg,North,Silver
CUS0095,Crystal Cummings,Male,51+,South Jesus,North,Bronze
