StoreID,StoreName,Region,StoreType,Manager,SquareFeet
ST01,NovaMart North Judithbury,North,Flagship,Noah Rhodes,14649
ST02,NovaMart New Roberttown,East,Flagship,David Guzman,6157
ST03,NovaMart Lake Debra,South,Outlet,Connie Lawrence,4179
ST04,NovaMart Port Lindachester,North,Outlet,Christopher Bernard,9412
ST05,NovaMart Curtisfurt,North,Flagship,Ryan Munoz,4035
ST06,NovaMart Lake Stephenville,South,Flagship,Jamie Arnold,10779
ST07,NovaMart Barbaraland,North,Outlet,Darren Roberts,5757
ST08,NovaMart Port Jesseville,West,Flagship,Jesse Flowers,9859
ST09,NovaMart West Michael,East,Flagship,Mia Sutton,14932
ST10,NovaMart New Cynthiaside,South,Outlet,Carla Gray,9424
ST11,NovaMart Lake Mark,East,Standard,Amy Underwood,5047
ST12,NovaMart Richardland,South,Standard,Tommy Walter,4174
ST13,NovaMart Jasonfort,North,Standard,Thomas Ellis,4084
ST14,NovaMart Donaldside,East,Standard,Nicole Patterson,12391
ST15,NovaMart Coxberg,East,Flagship,Ann Williams,14455
