CustomerID,CustomerName,Region,LoyaltyTier
CUS0001,Adrian Marsh,South,Silver
CUS0002,Angela Wright,West,Gold
CUS0003,Gail Foster,East,Platinum
CUS0004,Heidi Hopkins,South,Platinum
CUS0005,Rhonda Franklin,East,Gold
CUS0006,Keith Morris,East,Bronze
CUS0007,Christopher Ford,West,Platinum
CUS0008,John Church,North,Bronze
CUS0009,Dr. Daniel Brown,South,Platinum
CUS0010,Destiny Bishop,North,Platinum
CUS0011,Austin White,East,Gold
CUS0012,Desiree Booth,North,Bronze
CUS0013,Mark Thomas,East,Gold
CUS0014,Amber Wilson,West,Silver
CUS0015,Michael Valencia,East,Platinum
CUS0016,Amanda Love,West,Gold
CUS0017,Miguel Green,East,Platinum
CUS0018,Michael Mathews,South,Silver
CUS0019,Nathan Burke,West,Bronze
CUS0020,Billy Wallace,East,Silver
CUS0021,Cynthia Nguyen,North,Gold
CUS0022,Rodney Perry,West,Platinum
CUS0023,Sherri Thomas,East,Bronze
CUS0024,Richard Rogers,South,Platinum
CUS0025,Matthew Ruiz,East,Platinum
CUS0026,Lisa Martin,West,Bronze
CUS0027,Timothy Buck,South,Platinum
CUS0028,Lee Morton,East,Silver
CUS0029,Priscilla Romero,East,Gold
CUS0030,Hailey Lewis,North,Platinum
CUS0031,Amanda Barber,East,Silver
CUS0032,Zachary Miller,North,Platinum
CUS0033,Timothy Walker,South,Gold
CUS0034,Laura Kelley,North,Silver
CUS0035,Nicholas Abbott,South,Bronze
CUS0036,Amber Kennedy,West,Gold
CUS0037,Jessica Adams,West,Silver
CUS0038,Eileen Sanchez,East,Silver
CUS0039,Randall Cox,East,Silver
CUS0040,Paul Wilson,East,Gold
CUS0041,Nicholas Beard,West,Gold
CUS0042,Harold Wagner,South,Bronze
CUS0043,Martha Jacobs,South,Bronze
CUS0044,Jason Hudson,East,Platinum
CUS0045,Beth Medina,North,Silver
CUS0046,Jennifer Richards,West,Bronze
CUS0047,David Mitchell,North,Bronze
CUS0048,Brad Fisher,South,Gold
CUS0049,Ms. Mackenzie Barton,East,Platinum
CUS0050,Sherri Smith,East,Platinum
CUS0051,Dennis Spencer,West,Bronze
CUS0052,Natalie Martinez,East,Bronze
CUS0053,Jeffrey Vaughn,South,Platinum
CUS0054,Brandi Camacho DVM,West,Gold
CUS0055,Heather Morales,West,Gold
CUS0056,Michelle Wilson,West,Platinum
CUS0057,Stephanie Vargas,North,Bronze
CUS0058,Wendy Williams,West,Bronze
CUS0059,Heather Cole,South,Silver
CUS0060,Jerry Davenport,North,Gold
CUS0061,John Taylor,North,Silver
CUS0062,Ralph Hendricks,West,Gold
CUS0063,Angela Huang,East,Platinum
CUS0064,Jacqueline Banks,North,Bronze
CUS0065,Jeffrey Romero,North,Gold
CUS0066,Theresa Davis,North,Gold
CUS0067,Glenn Elliott,South,Silver
CUS0068,Lauren Anthony,South,Gold
CUS0069,Frank Flores,South,Platinum
CUS0070,Charles Cervantes,West,Bronze
CUS0071,Virginia Clark,North,Silver
CUS0072,Laura Gilbert,East,Gold
CUS0073,Dustin Wilson,North,Bronze
CUS0074,Jeffrey Mcclure,South,Gold
CUS0075,Thomas Zhang,West,Silver
CUS0076,Tammy Estrada,North,Bronze
CUS0077,Daniel Roberson,North,Bronze
CUS0078,Alyssa Orr,South,Gold
CUS0079,Kimberly Lloyd,East,Platinum
CUS0080,Ronnie Johnson,North,Bronze
CUS0081,Tom Duncan,East,Bronze
CUS0082,Kelly Guerra,West,Bronze
CUS0083,Brian Mccarthy,East,Bronze
CUS0084,Jill Reynolds,South,Platinum
CUS0085,Sean Kaiser,East,Bronze
CUS0086,Audrey Gomez,East,Gold
CUS0087,Ricky Luna,North,Bronze
CUS0088,Jonathon Hill,South,Platinum
CUS0089,Kayla Waters,West,Bronze
CUS0090,Emily Middleton,West,Platinum
CUS0091,Timothy Bauer,North,Platinum
CUS0092,Ryan Guerrero,North,Bronze
CUS0093,Amanda Walters,East,Silver
CUS0094,Chad Bennett,South,Silver
CUS0095,Megan Baker,East,Bronze
CUS0096,Robert Gross,West,Bronze
CUS0097,Craig Liu,West,Bronze
CUS0098,Shannon Curry,South,Silver
CUS0099,Austin Grant,South,Silver
CUS0100,Christopher Barnes,North,Silver
CUS0101,James Silva,East,Gold
CUS0102,Kari Sandoval,South,Silver
CUS0103,Eric Hall,North,Gold
CUS0104,John Robles,North,Bronze
CUS0105,Howard Castillo,South,Platinum
CUS0106,Brian Ibarra,North,Platinum
CUS0107,Donna Montes,West,Gold
CUS0108,Matthew Wilson,East,Platinum
CUS0109,Francis Wilson,South,Platinum
CUS0110,Michele Ayala,East,Bronze
CUS0111,Dr. John Jenkins,West,Platinum
CUS0112,Earl Romero,North,Bronze
CUS0113,Rachel Brown,South,Platinum
CUS0114,Deborah Stewart,South,Bronze
CUS0115,Jeremy Ross,South,Bronze
CUS0116,Debra Chandler,West,Gold
