CustomerID,CustomerName,Region,Gender,LoyaltyTier
C0001,Megan Andrade,North,Female,Bronze
C0002,Robert Russell,East,Female,Gold
C0003,Kathy Reid,West,Female,Silver
C0004,Tracey Gentry,North,Male,Gold
C0005,Patricia Thompson,North,Female,Silver
C0006,David Arnold,North,Female,Platinum
C0007,Ashley Dudley,South,Male,Gold
C0008,Matthew Moody,East,Male,Platinum
C0009,Darius Lynch,North,Male,Gold
C0010,Joshua Romero,East,Male,Bronze
C0011,Hannah Lopez,North,Female,Silver
C0012,Monica Brown,East,Female,Silver
C0013,Michael Duran,West,Female,Silver
C0014,Alicia Cisneros,West,Female,Gold
C0015,Mr. Matthew Henderson,North,Female,Bronze
C0016,Jacqueline Perkins,North,Male,Gold
C0017,Steven Medina,South,Male,Silver
C0018,Matthew Adams,East,Female,Bronze
C0019,Lisa Mcdonald,East,Female,Bronze
C0020,Jason Murray,East,Female,Bronze
C0021,Ashley Booker,North,Female,Silver
C0022,Samuel Day,North,Male,Silver
C0023,Elizabeth Guerrero,North,Male,Bronze
C0024,Michael Ewing,North,Female,Bronze
C0025,Brittany Myers,South,Female,Platinum
C0026,Troy Ross,North,Female,Platinum
C0027,Christopher Kane,North,Male,Silver
C0028,Anna Morris,East,Male,Silver
C0029,Luis Watkins,North,Male,Bronze
C0030,Carla Nguyen,East,Female,Silver
C0031,Megan Fuller,West,Male,Platinum
C0032,Jeremy Evans,South,Male,Platinum
C0033,Scott Johnson,North,Male,Platinum
C0034,John Hubbard,North,Male,Gold
C0035,Kevin Shea,South,Female,Platinum
C0036,Jeffrey Montgomery,West,Male,Gold
C0037,Mr. Juan Larson,North,Male,Platinum
C0038,Michael Scott,North,Male,Bronze
C0039,Luke Duncan,North,Male,Bronze
C0040,Bernard Hicks,East,Female,Silver
C0041,Rebecca Boone,East,Female,Bronze
C0042,Joel Roberts,North,Male,Gold
C0043,Tony Cooper,North,Male,Gold
C0044,Kevin Stokes,East,Female,Platinum
C0045,James Frank,East,Female,Platinum
C0046,Deborah Stewart,West,Male,Platinum
C0047,Carol Bowman,North,Male,Platinum
C0048,Sheri Murphy,North,Female,Gold
C0049,Russell Downs,West,Female,Platinum
C0050,Charles Ellis,South,Male,Platinum
C0051,Dylan Guzman,West,Male,Bronze
C0052,Ryan White,South,Female,Platinum
C0053,Dawn Meyer,West,Male,Gold
