CustomerID,CustomerName,Gender,AgeGroup,Region,LoyaltyTier,CustomerSince
CUS0001,Kelly Lee,Male,51+,North,Platinum,2025-12-15
CUS0002,John Greene,Male,36-50,West,Platinum,2021-09-04
CUS0003,Charlotte Warren,Male,51+,East,Bronze,2026-01-10
CUS0004,Sara Thomas,Female,18-25,East,Silver,2023-06-28
CUS0005,Natalie Kelly,Female,36-50,North,Gold,2026-07-26
CUS0006,Manuel Wilson,Other,18-25,West,Bronze,2024-06-26
CUS0007,Alexander Lewis,Female,36-50,South,Gold,2023-03-07
CUS0008,Paula Young,Other,18-25,West,Bronze,2024-02-02
CUS0009,Christine Page,Female,51+,West,Platinum,2022-08-12
CUS0010,Sarah Lee,Other,26-35,West,Bronze,2026-05-04
CUS0011,Amanda Neal,Male,18-25,South,Platinum,2023-09-03
CUS0012,Joseph Gutierrez,Male,18-25,North,Bronze,2026-01-26
CUS0013,Jeffrey Mendoza,Female,36-50,West,Silver,2025-02-24
CUS0014,David Wang,Female,26-35,West,Gold,2022-04-17
CUS0015,Brian Cook,Male,26-35,East,Platinum,2026-01-11
CUS0016,Karen Johnson,Male,26-35,North,Gold,2022-12-06
CUS0017,Abigail Garcia,Other,26-35,West,Silver,2025-05-03
CUS0018,Robert Wood,Female,51+,East,Platinum,2022-07-12
CUS0019,Eric Lewis,Female,18-25,South,Silver,2023-07-08
CUS0020,Jason James,Male,51+,East,Silver,2022-02-25
CUS0021,Andre Gonzalez,Male,51+,South,Bronze,2023-06-30
CUS0022,Lawrence Ross,Other,36-50,West,Gold,2025-05-01
CUS0023,Gloria Fletcher,Female,18-25,South,Platinum,2022-12-23
CUS0024,Susan Thompson,Male,26-35,North,Gold,2023-08-11
CUS0025,Jamie Mullins,Other,26-35,South,Silver,2026-03-15
CUS0026,Tricia Frey,Other,18-25,South,Bronze,2024-02-10
CUS0027,Derek Johnson,Male,36-50,East,Bronze,2023-01-29
CUS0028,Denise Parks,Male,26-35,East,Bronze,2023-01-12
CUS0029,Keith Craig,Male,36-50,West,Silver,2025-07-11
CUS0030,David Smith,Other,36-50,West,Bronze,2022-01-27
CUS0031,Jennifer Krause,Male,18-25,West,Silver,2022-05-26
CUS0032,Tina Schmitt,Male,26-35,North,Platinum,2023-07-03
CUS0033,Susan Mcdaniel,Female,18-25,West,Gold,2025-01-17
CUS0034,Monica Cannon,Female,36-50,West,Bronze,2025-04-23
CUS0035,Jeanette Moreno,Female,51+,South,Silver,2024-04-13
CUS0036,Shelly Dunlap,Male,51+,North,Gold,2023-04-01
CUS0037,Joanne Whitney,Female,36-50,North,Bronze,2024-07-13
CUS0038,Richard Jacobs,Male,18-25,South,Silver,2022-01-25
CUS0039,Susan Johnson,Male,26-35,East,Silver,2022-03-17
CUS0040,Robert Gibbs,Other,51+,North,Bronze,2025-11-11
CUS0041,Theresa Allen,Male,36-50,East,Bronze,2025-08-31
CUS0042,Kristina Lopez,Other,26-35,East,Bronze,2025-04-26
CUS0043,John Smith,Other,18-25,West,Bronze,2023-09-19
CUS0044,Tanya Rivera,Female,51+,West,Gold,2024-11-25
CUS0045,Michael Torres,Male,51+,South,Gold,2022-07-17
CUS0046,Dawn Austin,Other,26-35,West,Silver,2023-07-22
CUS0047,Elaine Conley,Female,51+,South,Bronze,2026-06-23
CUS0048,Karen Dominguez,Male,18-25,East,Gold,2026-06-02
CUS0049,Bianca Cooper,Other,18-25,South,Gold,2024-02-11
CUS0050,Ashley Rasmussen,Other,18-25,South,Bronze,2025-04-21
CUS0051,Tara Lin DDS,Other,36-50,West,Platinum,2023-11-06
CUS0052,Joel Bates,Male,51+,South,Platinum,2023-01-19
CUS0053,Lauren Young,Male,51+,North,Silver,2024-12-19
CUS0054,Michelle Pierce,Male,36-50,North,Platinum,2025-09-13
CUS0055,Theodore Robertson,Other,51+,East,Bronze,2024-01-17
CUS0056,Tyler Phelps,Female,36-50,North,Silver,2021-11-29
CUS0057,John Church,Male,51+,West,Platinum,2022-02-27
CUS0058,Lisa Fields,Male,51+,East,Silver,2023-04-25
CUS0059,Benjamin Rodgers,Female,18-25,North,Silver,2021-11-07
CUS0060,Zachary Potts,Other,18-25,North,Platinum,2024-06-08
CUS0061,Ann Mccall,Male,36-50,East,Bronze,2023-01-26
CUS0062,Stephanie Abbott,Female,26-35,West,Silver,2025-08-03
CUS0063,Gregory Hernandez,Other,18-25,West,Silver,2026-07-21
CUS0064,Kimberly Bowman,Female,26-35,West,Bronze,2024-01-11
CUS0065,Rhonda Marquez,Female,36-50,West,Silver,2025-11-17
CUS0066,Laura Peters,Other,18-25,North,Bronze,2024-11-23
CUS0067,Charles Mcclure,Female,26-35,North,Bronze,2023-07-06
CUS0068,Tiffany Kennedy,Other,18-25,West,Platinum,2025-09-21
CUS0069,Justin Stephenson,Male,51+,East,Platinum,2025-03-27
CUS0070,Joseph Travis,Other,18-25,East,Bronze,2023-12-16
CUS0071,Steve Tyler,Other,26-35,West,Bronze,2023-01-06
CUS0072,Taylor Freeman,Male,36-50,North,Silver,2024-06-27
CUS0073,Jason Jones,Other,18-25,South,Gold,2026-03-29
CUS0074,James Banks,Male,18-25,East,Bronze,2026-05-31
CUS0075,Dr. Daisy Chang DDS,Female,18-25,East,Platinum,2025-08-03
CUS0076,Randall Marks,Female,51+,East,Bronze,2024-01-22
CUS0077,Robin Lambert,Female,26-35,West,Gold,2026-03-01
CUS0078,Pamela Cordova,Other,26-35,East,Silver,2022-07-23
CUS0079,Nathan Webb IV,Female,51+,West,Silver,2024-12-20
CUS0080,Kathleen Smith,Male,18-25,West,Gold,2023-12-16
CUS0081,Barbara Thomas,Female,26-35,West,Silver,2022-11-04
CUS0082,Brandon Miller,Female,51+,South,Gold,2024-11-05
CUS0083,Sandra Pierce,Female,18-25,East,Bronze,2022-06-15
CUS0084,John Bonilla,Male,26-35,South,Silver,2021-12-12
CUS0085,Jared Luna,Female,26-35,South,Silver,2022-05-19
CUS0086,Thomas Bridges,Female,36-50,North,Platinum,2024-05-09
CUS0087,Kenneth Bright,Female,51+,South,Gold,2023-11-29
CUS0088,James Bryan,Other,18-25,South,Gold,2024-04-03
CUS0089,Patricia Smith,Other,18-25,East,Gold,2021-09-19
CUS0090,Natasha Smith,Male,36-50,East,Gold,2025-05-17
CUS0091,Victoria Griffin,Other,51+,West,Bronze,2025-08-21
CUS0092,Dr. Joseph Hunt,Male,36-50,East,Platinum,2025-04-04
CUS0093,Michele Hamilton,Other,36-50,South,Silver,2025-08-16
CUS0094,Carly Jimenez,Female,36-50,East,Silver,2025-10-14
CUS0095,Amanda Maynard,Male,18-25,West,Platinum,2026-01-11
CUS0096,Jonathan Wheeler,Other,18-25,North,Silver,2024-12-16
CUS0097,Katherine Torres,Female,18-25,West,Bronze,2023-10-26
CUS0098,Michael Gilbert,Female,36-50,East,Gold,2023-05-12
